Email,User_ID,Access_Date,Action_Type,Role,Permission_Set,Effective_Access
user20@atko.email,U0028,2025-04-25T23:05:51Z,LOGOUT,Finance,AUDIT_READ,Denied
user39@atko.email,U0047,2025-08-04T23:05:51Z,DELETE,Admin,SALES_VIEW,Denied
user7@atko.email,U0015,2025-05-07T23:05:51Z,"LOGOUT, EXECUTE","Security, IT_Ops, Payment Processor","GENERAL_USER, FIN_PROCESS_APPR",Denied
user19@atko.email,U0027,2025-01-06T23:05:51Z,READ,Sales,READ_ONLY,Permitted
ivan@atko.email,U0006,2025-04-18T23:05:51Z,"LOGOUT, LOGOUT","Sales, Admin, Viewer","FIN_VENDOR_CREATOR, FIN_VENDOR_CREATOR",Denied
user11@atko.email,U0019,2025-07-09T23:05:51Z,"LOGIN, UPDATE","Security, Employee, Finance","IT_MAINTAIN, GENERAL_USER",Permitted
user5@atko.email,U0013,2024-12-19T23:05:51Z,"LOGIN, LOGOUT","Viewer, Payment Processor, Payment Processor","HR_VIEW, HR_VIEW",Permitted
user33@atko.email,U0041,2025-09-03T23:05:51Z,"UPDATE, APPROVE","Auditor, HR, Security","FIN_VENDOR_CREATOR, GENERAL_USER",Permitted
user28@atko.email,U0036,2025-02-24T23:05:51Z,"CHECK_PERMS, READ","Admin, Viewer, HR","FINANCE_EDIT, READ_ONLY",Permitted
user25@atko.email,U0033,2025-03-17T23:05:51Z,"APPROVE, CREATE NEW VENDOR","Auditor, Employee, Employee","FINANCE_EDIT, SYSTEM_ADMIN_ALL",Denied
user35@atko.email,U0043,2025-07-29T23:05:51Z,"UPDATE, EXECUTE","Security, Sales, IT_Ops","SYSTEM_ADMIN_ALL, FIN_VENDOR_CREATOR",Denied
user2@atko.email,U0010,2025-11-08T23:05:51Z,READ,Admin,FIN_PROCESS_APPR,Permitted
user47@atko.email,U0055,2025-08-07T23:05:51Z,LOGIN,Admin,READ_ONLY,Permitted
user16@atko.email,U0024,2025-11-24T23:05:51Z,"LOGOUT, CHECK_PERMS","HR, Viewer, Payment Processor","IT_MAINTAIN, SECURITY_EXECUTE",Denied
max@atko.email,U0007,2025-11-08T23:05:51Z,"LOGIN, UPDATE","Admin, Auditor, Sales","AUDIT_READ, FINANCE_EDIT",Permitted
john.doe@atko.email,U0002,2025-01-13T23:05:51Z,"DELETE, LOGIN","Payment Processor, IT_Ops, Finance","AUDIT_READ, READ_ONLY",Permitted
john.doe@atko.email,U0002,2024-12-15T23:05:51Z,"UPDATE, EXECUTE","Security, IT_Ops, Admin","HR_VIEW, READ_ONLY",Denied
user27@atko.email,U0035,2025-08-11T23:05:51Z,"READ, WRITE","Finance, Payment Processor, Payment Processor","AUDIT_READ, GENERAL_USER",Denied
user6@atko.email,U0014,2025-05-30T23:05:51Z,"LOGIN, APPROVE","Employee, Auditor, Admin","SYSTEM_ADMIN_ALL, SALES_VIEW",Denied
user4@atko.email,U0012,2025-03-12T23:05:51Z,"DELETE, CREATE NEW VENDOR","Finance, HR, Auditor","GENERAL_USER, SYSTEM_ADMIN_ALL",Denied
user32@atko.email,U0040,2025-08-26T23:05:51Z,CREATE NEW VENDOR,HR,FIN_PROCESS_APPR,Permitted
user8@atko.email,U0016,2024-12-28T23:05:51Z,"APPROVE, CHECK_PERMS","Security, Auditor, Auditor","GENERAL_USER, FINANCE_EDIT",Denied
john.doe@atko.email,U0002,2025-01-04T23:05:51Z,WRITE,HR,SECURITY_EXECUTE,Permitted
user3@atko.email,U0011,2025-01-27T23:05:51Z,"LOGOUT, LOGIN","Admin, Payment Processor, Payment Processor","AUDIT_READ, SECURITY_EXECUTE",Denied
timewarp@atko.email,U_TIME,2025-02-23T23:05:51Z,"WRITE, APPROVE","Employee, Security, Employee","FINANCE_EDIT, AUDIT_READ",Denied
user31@atko.email,U0039,2025-05-12T23:05:51Z,"LOGIN, LOGIN","Finance, Employee, Viewer","FIN_VENDOR_CREATOR, GENERAL_USER",Permitted
user18@atko.email,U0026,2025-08-04T23:05:51Z,LOGIN,Admin,IT_MAINTAIN,Denied
user42@atko.email,U0050,2025-04-11T23:05:51Z,"READ, CHECK_PERMS","Employee, Sales, Sales","SYSTEM_ADMIN_ALL, GENERAL_USER",Permitted
user41@atko.email,U0049,2025-04-16T23:05:51Z,"WRITE, READ","Admin, Finance, Finance","SALES_VIEW, HR_VIEW",Denied
max@atko.email,U0007,2025-02-22T23:05:51Z,"LOGIN, LOGIN","IT_Ops, IT_Ops, Admin","GENERAL_USER, READ_ONLY",Permitted
timewarp@atko.email,U_TIME,2025-04-24T23:05:51Z,DELETE,HR,READ_ONLY,Permitted
user45@atko.email,U0053,2025-06-15T23:05:51Z,EXECUTE,Auditor,FIN_PROCESS_APPR,Permitted
user16@atko.email,U0024,2025-03-13T23:05:51Z,"APPROVE, EXECUTE","Payment Processor, Viewer, Viewer","FINANCE_EDIT, IT_MAINTAIN",Permitted
user25@atko.email,U0033,2025-06-04T23:05:51Z,READ,Auditor,HR_VIEW,Permitted
user23@atko.email,U0031,2025-09-22T23:05:51Z,"READ, EXECUTE","Viewer, Payment Processor, Security","READ_ONLY, SALES_VIEW",Denied
timewarp@atko.email,U_TIME,2024-12-09T23:05:51Z,"UPDATE, CHECK_PERMS","Auditor, Security, Finance","SALES_VIEW, SYSTEM_ADMIN_ALL",Permitted
user49@atko.email,U0057,2025-09-19T23:05:51Z,"UPDATE, LOGIN","Employee, Employee, Payment Processor","FIN_VENDOR_CREATOR, FIN_VENDOR_CREATOR",Denied
user21@atko.email,U0029,2025-07-16T23:05:51Z,"READ, READ","Admin, Finance, Payment Processor","SALES_VIEW, IT_MAINTAIN",Denied
user12@atko.email,U0020,2025-04-16T23:05:51Z,"UPDATE, CHECK_PERMS","Auditor, IT_Ops, Auditor","FIN_VENDOR_CREATOR, SYSTEM_ADMIN_ALL",Denied
user8@atko.email,U0016,2025-05-22T23:05:51Z,UPDATE,Viewer,FINANCE_EDIT,Permitted
ivan@atko.email,U0006,2025-10-20T23:05:51Z,"READ, LOGOUT","Admin, Sales, Admin","SECURITY_EXECUTE, SALES_VIEW",Denied
user48@atko.email,U0056,2025-10-23T23:05:51Z,"CHECK_PERMS, CREATE NEW VENDOR","Security, IT_Ops, Security","SALES_VIEW, SECURITY_EXECUTE",Permitted
user18@atko.email,U0026,2025-03-21T23:05:51Z,"DELETE, LOGIN","Sales, HR, Payment Processor","SYSTEM_ADMIN_ALL, SECURITY_EXECUTE",Permitted
user41@atko.email,U0049,2025-02-09T23:05:51Z,"WRITE, READ","Payment Processor, Auditor, Sales","HR_VIEW, SECURITY_EXECUTE",Permitted
user37@atko.email,U0045,2025-11-11T23:05:51Z,"LOGIN, APPROVE","Finance, Sales, Finance","SALES_VIEW, FIN_PROCESS_APPR",Permitted
creep.user@atko.email,U9999,2025-07-21T23:05:51Z,"EXECUTE, EXECUTE","Sales, HR, IT_Ops","FIN_PROCESS_APPR, READ_ONLY",Permitted
user23@atko.email,U0031,2025-10-26T23:05:51Z,DELETE,Finance,FIN_VENDOR_CREATOR,Permitted
user0@atko.email,U0008,2025-04-03T23:05:51Z,"LOGIN, DELETE","Sales, Admin, HR","SECURITY_EXECUTE, SECURITY_EXECUTE",Denied
user20@atko.email,U0028,2025-05-10T23:05:51Z,LOGOUT,Payment Processor,READ_ONLY,Permitted
creep.user@atko.email,U9999,2025-09-25T23:05:51Z,"WRITE, APPROVE","IT_Ops, HR, Security","SECURITY_EXECUTE, AUDIT_READ",Permitted
user38@atko.email,U0046,2025-08-04T23:05:51Z,"WRITE, APPROVE","Auditor, Employee, Payment Processor","HR_VIEW, FIN_VENDOR_CREATOR",Denied
user29@atko.email,U0037,2025-03-31T23:05:51Z,"EXECUTE, LOGIN","Viewer, HR, Payment Processor","GENERAL_USER, FINANCE_EDIT",Permitted
user32@atko.email,U0040,2024-12-13T23:05:51Z,"WRITE, LOGIN","Auditor, Finance, Viewer","FIN_VENDOR_CREATOR, FIN_VENDOR_CREATOR",Denied
user43@atko.email,U0051,2025-08-01T23:05:51Z,"DELETE, WRITE","Viewer, Finance, IT_Ops","FIN_VENDOR_CREATOR, FINANCE_EDIT",Denied
user15@atko.email,U0023,2025-02-25T23:05:51Z,"CREATE NEW VENDOR, LOGIN","Admin, Payment Processor, Sales","FIN_PROCESS_APPR, SYSTEM_ADMIN_ALL",Permitted
user45@atko.email,U0053,2025-08-31T23:05:51Z,"CREATE NEW VENDOR, WRITE","Sales, Viewer, Payment Processor","HR_VIEW, SYSTEM_ADMIN_ALL",Permitted
