Email,User_ID,Access_Date,Action_Type,Role,Permission_Set,Effective_Access
user43@atko.email,U0051,2025-07-09T23:05:51Z,LOGOUT,,READ_ONLY,Denied
user28@atko.email,U0036,2025-11-02T23:05:51Z,EXECUTE,HR,READ_ONLY,Denied
user43@atko.email,U0051,2025-06-09T23:05:51Z,WRITE,,HR_VIEW,Denied
user44@atko.email,U0052,2025-06-27T23:05:51Z,DELETE,Auditor,IT_MAINTAIN,Permitted
harms.rosa@atko.email,U0003,2025-01-27T23:05:51Z,UPDATE,,FIN_PROCESS_APPR,Denied
user40@atko.email,U0048,2025-03-26T23:05:51Z,READ,Finance,HR_VIEW,Permitted
user18@atko.email,U0026,2025-09-02T23:05:51Z,CHECK_PERMS,Viewer,FIN_PROCESS_APPR,Permitted
user38@atko.email,U0046,2025-01-11T23:05:51Z,LOGOUT,Viewer,SALES_VIEW,Permitted
user6@atko.email,U0014,2025-11-23T23:05:51Z,CREATE NEW VENDOR,Employee,SYSTEM_ADMIN_ALL,Permitted
user12@atko.email,U0020,2025-11-18T23:05:51Z,CREATE NEW VENDOR,Employee,FIN_VENDOR_CREATOR,Permitted
user11@atko.email,U0019,2024-12-11T23:05:51Z,CREATE NEW VENDOR,Admin,AUDIT_READ,Permitted
kobe.doe@atko.email,U0005,2025-10-30T23:05:51Z,WRITE,Finance,FIN_VENDOR_CREATOR,Denied
user11@atko.email,U0019,2025-11-14T23:05:51Z,DELETE,Viewer,HR_VIEW,Permitted
user36@atko.email,U0044,2025-03-17T23:05:51Z,DELETE,Finance,FINANCE_EDIT,Permitted
user21@atko.email,U0029,2025-11-26T23:05:51Z,LOGOUT,Sales,GENERAL_USER,Denied
user43@atko.email,U0051,2025-03-20T23:05:51Z,APPROVE,Viewer,AUDIT_READ,Denied
user42@atko.email,U0050,2025-05-15T23:05:51Z,READ,IT_Ops,HR_VIEW,Denied
user39@atko.email,U0047,2025-07-11T23:05:51Z,READ,Viewer,SALES_VIEW,Denied
user40@atko.email,U0048,2025-03-01T23:05:51Z,CHECK_PERMS,Employee,HR_VIEW,Denied
user8@atko.email,U0016,2025-10-11T23:05:51Z,EXECUTE,,GENERAL_USER,Denied
user12@atko.email,U0020,2025-02-18T23:05:51Z,CHECK_PERMS,Payment Processor,SYSTEM_ADMIN_ALL,Denied
user21@atko.email,U0029,2025-11-21T23:05:51Z,LOGIN,Admin,IT_MAINTAIN,Denied
user13@atko.email,U0021,2025-03-25T23:05:51Z,UPDATE,Viewer,AUDIT_READ,Denied
user38@atko.email,U0046,2025-10-03T23:05:51Z,WRITE,Admin,HR_VIEW,Denied
user37@atko.email,U0045,2025-07-02T23:05:51Z,UPDATE,Security,IT_MAINTAIN,Permitted
user19@atko.email,U0027,2025-09-10T23:05:51Z,UPDATE,Employee,AUDIT_READ,Denied
user21@atko.email,U0029,2025-03-21T23:05:51Z,READ,Finance,FIN_PROCESS_APPR,Denied
user9@atko.email,U0017,2025-09-20T23:05:51Z,CHECK_PERMS,Sales,FINANCE_EDIT,Denied
user20@atko.email,U0028,2025-08-12T23:05:51Z,CREATE NEW VENDOR,Security,GENERAL_USER,Permitted
user37@atko.email,U0045,2025-11-04T23:05:51Z,READ,Employee,FINANCE_EDIT,Denied
user15@atko.email,U0023,2025-08-01T23:05:51Z,CHECK_PERMS,Payment Processor,IT_MAINTAIN,Permitted
user12@atko.email,U0020,2025-04-03T23:05:51Z,UPDATE,Viewer,SYSTEM_ADMIN_ALL,Permitted
user37@atko.email,U0045,2025-02-16T23:05:51Z,DELETE,Sales,FIN_VENDOR_CREATOR,Permitted
user13@atko.email,U0021,2025-04-24T23:05:51Z,CREATE NEW VENDOR,Payment Processor,FIN_VENDOR_CREATOR,Denied
user25@atko.email,U0033,2025-07-18T23:05:51Z,EXECUTE,,IT_MAINTAIN,Denied
user6@atko.email,U0014,2025-04-02T23:05:51Z,EXECUTE,Employee,FIN_VENDOR_CREATOR,Permitted
user18@atko.email,U0026,2025-10-24T23:05:51Z,WRITE,Finance,HR_VIEW,Permitted
max@atko.email,U0007,2025-03-18T23:05:51Z,LOGIN,IT_Ops,SECURITY_EXECUTE,Permitted
user43@atko.email,U0051,2025-03-21T23:05:51Z,UPDATE,IT_Ops,HR_VIEW,Permitted
user46@atko.email,U0054,2025-09-13T23:05:51Z,READ,Auditor,SYSTEM_ADMIN_ALL,Permitted
user24@atko.email,U0032,2025-03-16T23:05:51Z,WRITE,Admin,FIN_VENDOR_CREATOR,Permitted
user27@atko.email,U0035,2025-04-21T23:05:51Z,EXECUTE,Admin,READ_ONLY,Permitted
user45@atko.email,U0053,2025-07-06T23:05:51Z,LOGIN,Finance,FIN_VENDOR_CREATOR,Permitted
user28@atko.email,U0036,2025-09-10T23:05:51Z,DELETE,Sales,FINANCE_EDIT,Permitted
user13@atko.email,U0021,2025-09-12T23:05:51Z,LOGOUT,Viewer,READ_ONLY,Denied
user0@atko.email,U0008,2025-07-05T23:05:51Z,UPDATE,Viewer,GENERAL_USER,Denied
user14@atko.email,U0022,2025-03-11T23:05:51Z,LOGIN,Payment Processor,FIN_PROCESS_APPR,Denied
user32@atko.email,U0040,2025-03-19T23:05:51Z,WRITE,HR,GENERAL_USER,Permitted
samantha.driver@atko.email,U0004,2025-07-15T23:05:51Z,CREATE NEW VENDOR,Payment Processor,AUDIT_READ,Denied
user28@atko.email,U0036,2025-11-18T23:05:51Z,LOGIN,HR,SYSTEM_ADMIN_ALL,Denied
