Email,User_ID,Access_Date,Action_Type,Role,Permission_Set,Effective_Access
user7@atko.email,U0015,2025-03-03T23:05:51Z,CREATE NEW VENDOR,Employee,GENERAL_USER,Permitted
kobe.doe@atko.email,U0005,2025-04-01T23:05:51Z,DELETE,IT_Ops,READ_ONLY,Denied
user46@atko.email,U0054,2025-05-26T23:05:51Z,LOGIN,Sales,IT_MAINTAIN,Denied
user3@atko.email,U0011,2025-07-05T23:05:51Z,CREATE NEW VENDOR,Finance,SALES_VIEW,Permitted
user47@atko.email,U0055,2025-09-30T23:05:51Z,APPROVE,Viewer; Payment Processor,READ_ONLY,Denied
user15@atko.email,U0023,2025-02-11T23:05:51Z,DELETE,Admin,GENERAL_USER,Denied
user19@atko.email,U0027,2025-05-03T23:05:51Z,CREATE NEW VENDOR,Finance,GENERAL_USER,Permitted
user25@atko.email,U0033,2025-09-01T23:05:51Z,LOGOUT,Auditor,HR_VIEW,Denied
user34@atko.email,U0042,2025-05-06T23:05:51Z,UPDATE,HR,IT_MAINTAIN,Permitted
user48@atko.email,U0056,2025-07-01T23:05:51Z,LOGIN,IT_Ops; Viewer,HR_VIEW,Denied
user25@atko.email,U0033,2024-12-20T23:05:51Z,CREATE NEW VENDOR,HR,SECURITY_EXECUTE,Permitted
user15@atko.email,U0023,2025-11-23T23:05:51Z,READ,Auditor,FIN_PROCESS_APPR,Denied
harms.rosa@atko.email,U0003,2025-05-21T23:05:51Z,DELETE,Viewer,FIN_VENDOR_CREATOR,Denied
user30@atko.email,U0038,2025-07-04T23:05:51Z,CREATE NEW VENDOR,Admin,FIN_VENDOR_CREATOR,Permitted
user7@atko.email,U0015,2025-01-01T23:05:51Z,APPROVE,Security; IT_Ops,SALES_VIEW,Denied
john.doe@atko.email,U0002,2025-09-13T23:05:51Z,DELETE,Viewer,SYSTEM_ADMIN_ALL,Denied
user11@atko.email,U0019,2025-10-17T23:05:51Z,WRITE,IT_Ops,FIN_PROCESS_APPR,Permitted
user18@atko.email,U0026,2025-10-13T23:05:51Z,DELETE,Finance,HR_VIEW,Permitted
user5@atko.email,U0013,2025-04-12T23:05:51Z,DELETE,Security; Finance,SYSTEM_ADMIN_ALL,Denied
user39@atko.email,U0047,2025-11-16T23:05:51Z,CHECK_PERMS,Payment Processor; Employee,FIN_VENDOR_CREATOR,Permitted
user40@atko.email,U0048,2025-04-18T23:05:51Z,CREATE NEW VENDOR,HR,FIN_PROCESS_APPR,Permitted
