Email,User_ID,Access_Date,Action_Type,Role,Permission_Set,Effective_Access
user30@atko.email,U0038,2025-07-23T23:05:51Z,LOGIN,HR,SALES_VIEW,Permitted
user32@atko.email,U0040,2025-02-25T23:05:51Z,WRITE,Payment Processor,SYSTEM_ADMIN_ALL,Denied
user26@atko.email,U0034,2024-12-15T23:05:51Z,WRITE,Admin,READ_ONLY,Denied
user28@atko.email,U0036,2025-01-23T23:05:51Z,APPROVE,Employee,GENERAL_USER,Permitted
user39@atko.email,U0047,2025-06-08T23:05:51Z,APPROVE,Auditor,IT_MAINTAIN,Denied
user12@atko.email,U0020,2025-02-02T23:05:51Z,EXECUTE,Viewer,FIN_VENDOR_CREATOR,Denied
user4@atko.email,U0012,2025-07-29T23:05:51Z,CHECK_PERMS,Auditor,SALES_VIEW,Permitted
user15@atko.email,U0023,2025-12-06T23:05:51Z,CREATE NEW VENDOR,Employee,SALES_VIEW,Denied
user28@atko.email,U0036,2025-03-24T23:05:51Z,EXECUTE,IT_Ops;IT_Ops,SYSTEM_ADMIN_ALL,Permitted
user9@atko.email,U0017,2025-01-14T23:05:51Z,DELETE,Auditor,GENERAL_USER,Permitted
user47@atko.email,U0055,2025-05-09T23:05:51Z,APPROVE,Employee,FIN_PROCESS_APPR,Denied
user13@atko.email,U0021,2025-07-18T23:05:51Z,LOGIN,Security,FIN_VENDOR_CREATOR,Denied
user11@atko.email,U0019,2025-06-22T23:05:51Z,APPROVE,Viewer,FINANCE_EDIT,Permitted
john.doe@atko.email,U0002,2025-08-25T23:05:51Z,LOGOUT,Admin,SECURITY_EXECUTE,Denied
user34@atko.email,U0042,2025-08-20T23:05:51Z,DELETE,Auditor,FINANCE_EDIT,Denied
user35@atko.email,U0043,2025-11-10T23:05:51Z,READ,Finance,IT_MAINTAIN,Permitted
samantha.driver@atko.email,U0004,2025-04-20T23:05:51Z,LOGOUT,Security,READ_ONLY,Denied
user29@atko.email,U0037,2025-11-15T23:05:51Z,EXECUTE,Auditor;Security,FINANCE_EDIT,Denied
kobe.doe@atko.email,U0005,2025-05-28T23:05:51Z,UPDATE,Security,SYSTEM_ADMIN_ALL,Permitted
user15@atko.email,U0023,2025-02-06T23:05:51Z,APPROVE,Security,SYSTEM_ADMIN_ALL,Permitted
ivan@atko.email,U0006,2025-08-26T23:05:51Z,LOGIN,Employee,HR_VIEW,Denied
user46@atko.email,U0054,2024-12-26T23:05:51Z,UPDATE,HR;Security,FIN_PROCESS_APPR,Denied
user5@atko.email,U0013,2025-07-21T23:05:51Z,WRITE,Auditor,HR_VIEW,Permitted
user49@atko.email,U0057,2025-04-17T23:05:51Z,EXECUTE,HR,HR_VIEW,Denied
user11@atko.email,U0019,2025-05-07T23:05:51Z,CREATE NEW VENDOR,Payment Processor,FIN_PROCESS_APPR,Permitted
kobe.doe@atko.email,U0005,2025-01-02T23:05:51Z,DELETE,HR,GENERAL_USER,Denied
user48@atko.email,U0056,2025-09-24T23:05:51Z,CREATE NEW VENDOR,Admin,FIN_PROCESS_APPR,Denied
user33@atko.email,U0041,2025-09-24T23:05:51Z,CREATE NEW VENDOR,Auditor,FIN_VENDOR_CREATOR,Permitted
user41@atko.email,U0049,2025-11-21T23:05:51Z,WRITE,Auditor,SECURITY_EXECUTE,Denied
user21@atko.email,U0029,2025-11-07T23:05:51Z,WRITE,HR,SALES_VIEW,Denied
harms.rosa@atko.email,U0003,2025-06-05T23:05:51Z,READ,Viewer,GENERAL_USER,Permitted
user19@atko.email,U0027,2025-01-22T23:05:51Z,LOGIN,Security,HR_VIEW,Permitted
user47@atko.email,U0055,2025-07-14T23:05:51Z,UPDATE,IT_Ops;Sales,FIN_PROCESS_APPR,Permitted
john.doe@atko.email,U0002,2025-02-16T23:05:51Z,LOGOUT,Admin,FIN_VENDOR_CREATOR,Permitted
user34@atko.email,U0042,2025-06-23T23:05:51Z,UPDATE,HR,FIN_VENDOR_CREATOR,Permitted
ashwin.ramnarayanan@okta.com,U0001,2025-06-18T23:05:51Z,DELETE,Security,AUDIT_READ,Permitted
harms.rosa@atko.email,U0003,2025-03-19T23:05:51Z,LOGIN,Security,GENERAL_USER,Permitted
user22@atko.email,U0030,2025-01-16T23:05:51Z,WRITE,Security,SYSTEM_ADMIN_ALL,Permitted
user5@atko.email,U0013,2025-06-22T23:05:51Z,READ,Payment Processor;Sales,FIN_VENDOR_CREATOR,Permitted
user14@atko.email,U0022,2025-10-30T23:05:51Z,APPROVE,Auditor;Admin,AUDIT_READ,Permitted
ashwin.ramnarayanan@okta.com,U0001,2025-03-12T23:05:51Z,EXECUTE,Finance,FINANCE_EDIT,Denied
user11@atko.email,U0019,2025-08-18T23:05:51Z,LOGOUT,Employee,FINANCE_EDIT,Denied
max@atko.email,U0007,2025-08-19T23:05:51Z,APPROVE,Admin,SECURITY_EXECUTE,Permitted
user40@atko.email,U0048,2025-03-02T23:05:51Z,LOGIN,HR,SECURITY_EXECUTE,Permitted
user7@atko.email,U0015,2025-05-29T23:05:51Z,LOGIN,Viewer,FIN_VENDOR_CREATOR,Permitted
user48@atko.email,U0056,2025-04-20T23:05:51Z,WRITE,Admin,GENERAL_USER,Denied
user29@atko.email,U0037,2025-01-17T23:05:51Z,APPROVE,Finance,HR_VIEW,Permitted
user41@atko.email,U0049,2025-08-22T23:05:51Z,LOGIN,Payment Processor,GENERAL_USER,Denied
user37@atko.email,U0045,2025-01-21T23:05:51Z,LOGOUT,Auditor,AUDIT_READ,Permitted
user10@atko.email,U0018,2025-11-08T23:05:51Z,LOGIN,Finance,IT_MAINTAIN,Permitted
user35@atko.email,U0043,2025-12-02T23:05:51Z,WRITE,HR,FIN_VENDOR_CREATOR,Permitted
user16@atko.email,U0024,2025-08-28T23:05:51Z,LOGOUT,HR,HR_VIEW,Permitted
user16@atko.email,U0024,2025-11-08T23:05:51Z,READ,Security,SECURITY_EXECUTE,Denied
user43@atko.email,U0051,2025-07-11T23:05:51Z,UPDATE,Employee,FINANCE_EDIT,Permitted
user14@atko.email,U0022,2024-12-08T23:05:51Z,EXECUTE,Payment Processor,FINANCE_EDIT,Permitted
user12@atko.email,U0020,2025-06-08T23:05:51Z,READ,Admin,SALES_VIEW,Denied
user12@atko.email,U0020,2025-09-11T23:05:51Z,WRITE,Viewer,FINANCE_EDIT,Denied
user22@atko.email,U0030,2025-04-10T23:05:51Z,CHECK_PERMS,Auditor,GENERAL_USER,Denied
user6@atko.email,U0014,2025-09-03T23:05:51Z,DELETE,Auditor,FINANCE_EDIT,Permitted
user2@atko.email,U0010,2025-10-17T23:05:51Z,DELETE,Employee,HR_VIEW,Denied
max@atko.email,U0007,2025-04-23T23:05:51Z,WRITE,HR,SYSTEM_ADMIN_ALL,Permitted
user45@atko.email,U0053,2025-02-05T23:05:51Z,CHECK_PERMS,HR,IT_MAINTAIN,Permitted
harms.rosa@atko.email,U0003,2025-02-09T23:05:51Z,EXECUTE,Employee,HR_VIEW,Denied
user38@atko.email,U0046,2025-01-31T23:05:51Z,CHECK_PERMS,Employee,FIN_VENDOR_CREATOR,Permitted
user38@atko.email,U0046,2025-03-14T23:05:51Z,APPROVE,Employee,FIN_PROCESS_APPR,Permitted
user25@atko.email,U0033,2025-03-22T23:05:51Z,WRITE,Security,SECURITY_EXECUTE,Permitted
ivan@atko.email,U0006,2025-03-25T23:05:51Z,CREATE NEW VENDOR,Sales;Auditor,AUDIT_READ,Permitted
user17@atko.email,U0025,2025-02-13T23:05:51Z,LOGIN,Employee,AUDIT_READ,Permitted
kobe.doe@atko.email,U0005,2025-02-02T23:05:51Z,UPDATE,HR,AUDIT_READ,Denied
user38@atko.email,U0046,2024-12-16T23:05:51Z,LOGOUT,IT_Ops,SALES_VIEW,Permitted
kobe.doe@atko.email,U0005,2025-08-21T23:05:51Z,CREATE NEW VENDOR,Finance,SECURITY_EXECUTE,Permitted
user44@atko.email,U0052,2024-12-17T23:05:51Z,LOGIN,Payment Processor;Admin,SALES_VIEW,Permitted
user9@atko.email,U0017,2025-03-01T23:05:51Z,CREATE NEW VENDOR,Payment Processor,IT_MAINTAIN,Denied
user28@atko.email,U0036,2024-12-24T23:05:51Z,DELETE,Auditor,IT_MAINTAIN,Permitted
samantha.driver@atko.email,U0004,2025-11-18T23:05:51Z,LOGOUT,Admin,SYSTEM_ADMIN_ALL,Denied
user23@atko.email,U0031,2025-02-16T23:05:51Z,CHECK_PERMS,Auditor,SECURITY_EXECUTE,Denied
user32@atko.email,U0040,2025-05-15T23:05:51Z,WRITE,Sales;Employee,READ_ONLY,Permitted
user1@atko.email,U0009,2025-01-12T23:05:51Z,EXECUTE,Employee,SALES_VIEW,Permitted
user49@atko.email,U0057,2025-07-16T23:05:51Z,EXECUTE,Security,HR_VIEW,Permitted
user6@atko.email,U0014,2025-06-28T23:05:51Z,LOGOUT,Security;Finance,FINANCE_EDIT,Denied
samantha.driver@atko.email,U0004,2025-10-30T23:05:51Z,LOGOUT,Finance,SYSTEM_ADMIN_ALL,Permitted
user44@atko.email,U0052,2024-12-14T23:05:51Z,READ,Employee,SALES_VIEW,Permitted
user33@atko.email,U0041,2025-10-29T23:05:51Z,LOGIN,IT_Ops,SALES_VIEW,Permitted
user11@atko.email,U0019,2024-12-29T23:05:51Z,APPROVE,HR,SECURITY_EXECUTE,Permitted
user0@atko.email,U0008,2025-10-23T23:05:51Z,APPROVE,IT_Ops,FIN_PROCESS_APPR,Permitted
user4@atko.email,U0012,2025-04-13T23:05:51Z,LOGIN,Admin,HR_VIEW,Denied
user13@atko.email,U0021,2025-01-03T23:05:51Z,READ,Sales,IT_MAINTAIN,Permitted
