Email,User_ID,Access_Date,Action_Type,Role,Permission_Set,Effective_Access
user18@atko.email,U0026,2025-04-25T23:05:51Z,EXECUTE,Finance,HR_VIEW,Permitted
user14@atko.email,U0022,2025-05-05T23:05:51Z,DELETE,Auditor,FIN_VENDOR_CREATOR,Denied
user30@atko.email,U0038,2025-04-27T23:05:51Z,EXECUTE,Security,FIN_VENDOR_CREATOR,Permitted
user46@atko.email,U0054,2025-07-13T23:05:51Z,CREATE NEW VENDOR,Payment Processor,SALES_VIEW,Denied
user20@atko.email,U0028,2025-08-18T23:05:51Z,CHECK_PERMS,HR,FINANCE_EDIT,Permitted
user19@atko.email,U0027,2025-02-08T23:05:51Z,CHECK_PERMS,Viewer,HR_VIEW,Denied
user36@atko.email,U0044,2025-05-30T23:05:51Z,UPDATE,Payment Processor,SECURITY_EXECUTE,Denied
user33@atko.email,U0041,2025-10-20T23:05:51Z,CREATE NEW VENDOR,Admin,GENERAL_USER,Denied
user12@atko.email,U0020,2025-04-06T23:05:51Z,LOGIN,HR,FINANCE_EDIT,Permitted
user22@atko.email,U0030,2025-11-19T23:05:51Z,CHECK_PERMS,Auditor,HR_VIEW,Permitted
max@atko.email,U0007,2025-09-11T23:05:51Z,APPROVE,Employee,FIN_PROCESS_APPR,Denied
user4@atko.email,U0012,2025-05-17T23:05:51Z,DELETE,Finance,HR_VIEW,Denied
samantha.driver@atko.email,U0004,2025-04-11T23:05:51Z,LOGIN,Viewer,SECURITY_EXECUTE,Denied
user4@atko.email,U0012,2025-06-10T23:05:51Z,EXECUTE,Viewer,FIN_VENDOR_CREATOR,Denied
kobe.doe@atko.email,U0005,2025-04-04T23:05:51Z,LOGOUT,Security,HR_VIEW,Permitted
user13@atko.email,U0021,2025-02-12T23:05:51Z,WRITE,Employee,SALES_VIEW,Denied
user12@atko.email,U0020,2025-02-25T23:05:51Z,APPROVE,Sales,SALES_VIEW,Denied
user31@atko.email,U0039,2025-10-15T23:05:51Z,CHECK_PERMS,HR,IT_MAINTAIN,Denied
user4@atko.email,USER_A,2025-04-05T23:05:51Z,DELETE,Sales,SYSTEM_ADMIN_ALL,Permitted
user23@atko.email,U0031,2025-07-21T23:05:51Z,EXECUTE,Security,FINANCE_EDIT,Denied
user0@atko.email,U0008,2025-07-31T23:05:51Z,CREATE NEW VENDOR,Auditor,FINANCE_EDIT,Permitted
