Email,User_ID,Access_Date,Action_Type,Role,Permission_Set,Effective_Access,Expiry_Date
user25@atko.email,U0033,2025-10-20T23:05:51Z,READ,Finance,SALES_VIEW,Permitted,2025-10-25T23:05:51Z
user42@atko.email,U0050,2025-09-25T23:05:51Z,READ,IT_Ops,IT_MAINTAIN,Permitted,2025-09-30T23:05:51Z
user47@atko.email,U0055,2025-11-06T23:05:51Z,LOGIN,Auditor,HR_VIEW,Permitted,2025-11-11T23:05:51Z
user43@atko.email,U0051,2025-11-03T23:05:51Z,APPROVE,Sales,IT_MAINTAIN,Permitted,2025-11-08T23:05:51Z
user34@atko.email,U0042,2025-10-19T23:05:51Z,EXECUTE,Sales,READ_ONLY,Permitted,2025-10-24T23:05:51Z
user40@atko.email,U0048,2025-10-18T23:05:51Z,UPDATE,Admin,IT_MAINTAIN,Denied,2025-10-23T23:05:51Z
user43@atko.email,U0051,2025-08-31T23:05:51Z,CREATE NEW VENDOR,Admin,GENERAL_USER,Denied,2025-09-05T23:05:51Z
user46@atko.email,U0054,2025-09-02T23:05:51Z,EXECUTE,HR,SECURITY_EXECUTE,Permitted,2025-09-07T23:05:51Z
user17@atko.email,U0025,2025-09-10T23:05:51Z,APPROVE,Sales,SALES_VIEW,Permitted,2025-09-15T23:05:51Z
user35@atko.email,U0043,2025-10-14T23:05:51Z,WRITE,HR,SYSTEM_ADMIN_ALL,Permitted,2025-10-19T23:05:51Z
user49@atko.email,U0057,2025-11-10T23:05:51Z,CHECK_PERMS,Auditor,SECURITY_EXECUTE,Permitted,2025-11-15T23:05:51Z
user32@atko.email,U0040,2025-09-25T23:05:51Z,UPDATE,Viewer,FINANCE_EDIT,Denied,2025-09-30T23:05:51Z
user34@atko.email,U0042,2025-10-06T23:05:51Z,LOGOUT,Admin,HR_VIEW,Permitted,2025-10-11T23:05:51Z
user30@atko.email,U0038,2025-11-04T23:05:51Z,CHECK_PERMS,Finance,HR_VIEW,Denied,2025-11-09T23:05:51Z
user10@atko.email,U0018,2025-10-27T23:05:51Z,READ,Sales,SALES_VIEW,Denied,2025-10-22T23:05:51Z
user45@atko.email,U0053,2025-10-10T23:05:51Z,UPDATE,Viewer,SECURITY_EXECUTE,Permitted,2025-10-15T23:05:51Z
