Email,User_ID,Access_Date,Action_Type,Role,Permission_Set,Effective_Access
user46@atko.email,U0054,2025-01-20T23:05:51Z,APPROVE,Viewer,SALES_VIEW,Denied
user11@atko.email,U0019,2024-12-24T23:05:51Z,READ,Auditor,FIN_VENDOR_CREATOR,Denied
user9@atko.email,U0017,2025-01-01T23:05:51Z,DELETE,Sales,IT_MAINTAIN,Denied
user30@atko.email,U0038,2025-09-27T23:05:51Z,LOGIN,Payment Processor,SYSTEM_ADMIN_ALL,Denied
user35@atko.email,U0043,2024-12-15T23:05:51Z,EXECUTE,Viewer,GENERAL_USER,Permitted
user13@atko.email,U0021,2025-01-07T23:05:51Z,WRITE,Payment Processor,FIN_PROCESS_APPR,Denied
samantha.driver@atko.email,U0004,2025-05-23T23:05:51Z,LOGOUT,Auditor,READ_ONLY,Denied
user29@atko.email,U0037,2025-06-11T23:05:51Z,READ,Viewer,IT_MAINTAIN,Denied
user25@atko.email,U0033,2025-09-25T23:05:51Z,APPROVE,Payment Processor,FINANCE_EDIT,Permitted
user18@atko.email,U0026,2025-05-20T23:05:51Z,CREATE NEW VENDOR,HR,SYSTEM_ADMIN_ALL,Permitted
user39@atko.email,U0047,2025-05-01T23:05:51Z,EXECUTE,Employee,SECURITY_EXECUTE,Denied
user35@atko.email,U0043,2025-03-05T23:05:51Z,DELETE,Finance,FINANCE_EDIT,Permitted
user25@atko.email,U0033,2025-08-09T23:05:51Z,UPDATE,Viewer,GENERAL_USER,Denied
user45@atko.email,U0053,2025-04-01T23:05:51Z,DELETE,Employee,FINANCE_EDIT,Permitted
user10@atko.email,U0018,2025-04-20T23:05:51Z,WRITE,Viewer,IT_MAINTAIN,Denied
user36@atko.email,U0044,2025-07-06T23:05:51Z,READ,Admin,READ_ONLY,Denied
user10@atko.email,U0018,2025-09-26T23:05:51Z,READ,HR,FIN_VENDOR_CREATOR,Permitted
user15@atko.email,U0023,2025-04-04T23:05:51Z,WRITE,Auditor,FIN_PROCESS_APPR,Permitted
user18@atko.email,U0026,2025-11-23T23:05:51Z,LOGIN,Admin,FIN_PROCESS_APPR,Denied
user32@atko.email,U0040,2024-12-23T23:05:51Z,CHECK_PERMS,HR,SECURITY_EXECUTE,Denied
user40@atko.email,U0048,2024-12-24T23:05:51Z,LOGIN,IT_Ops,HR_VIEW,Permitted
user43@atko.email,U0051,2024-12-09T23:05:51Z,CREATE NEW VENDOR,Auditor,SECURITY_EXECUTE,Denied
creep.user@atko.email,U9999,2025-05-17T23:05:51Z,LOGIN,Finance,IT_MAINTAIN,Denied
user4@atko.email,U0012,2025-06-22T23:05:51Z,DELETE,Sales,AUDIT_READ,Denied
user21@atko.email,U0029,2025-01-11T23:05:51Z,READ,Finance,AUDIT_READ,Permitted
user33@atko.email,U0041,2025-09-21T23:05:51Z,CHECK_PERMS,Viewer,FINANCE_EDIT,Permitted
ashwin.ramnarayanan@okta.com,U0001,2025-04-30T23:05:51Z,APPROVE,Payment Processor,HR_VIEW,Denied
samantha.driver@atko.email,U0004,2025-08-30T23:05:51Z,APPROVE,Payment Processor,SALES_VIEW,Permitted
user7@atko.email,U0015,2025-03-18T23:05:51Z,EXECUTE,Security,FIN_VENDOR_CREATOR,Permitted
ashwin.ramnarayanan@okta.com,U0001,2025-04-29T23:05:51Z,LOGIN,Employee,IT_MAINTAIN,Denied
user24@atko.email,U0032,2025-05-21T23:05:51Z,DELETE,HR,GENERAL_USER,Denied
user3@atko.email,U0011,2025-06-15T23:05:51Z,UPDATE,Payment Processor,READ_ONLY,Denied
user31@atko.email,U0039,2025-01-21T23:05:51Z,EXECUTE,Finance,AUDIT_READ,Permitted
user13@atko.email,U0021,2025-08-04T23:05:51Z,UPDATE,HR,HR_VIEW,Denied
user10@atko.email,U0018,2025-08-15T23:05:51Z,EXECUTE,Payment Processor,FIN_PROCESS_APPR,Denied
user2@atko.email,U0010,2025-01-23T23:05:51Z,CREATE NEW VENDOR,Payment Processor,GENERAL_USER,Denied
user0@atko.email,U0008,2025-05-10T23:05:51Z,EXECUTE,Payment Processor,READ_ONLY,Denied
user2@atko.email,U0010,2025-02-28T23:05:51Z,WRITE,IT_Ops,HR_VIEW,Denied
user23@atko.email,U0031,2025-09-08T23:05:51Z,UPDATE,Auditor,AUDIT_READ,Denied
user18@atko.email,U0026,2024-12-27T23:05:51Z,READ,IT_Ops,SYSTEM_ADMIN_ALL,Permitted
user45@atko.email,U0053,2025-02-01T23:05:51Z,DELETE,IT_Ops,IT_MAINTAIN,Denied
user13@atko.email,U0021,2025-01-17T23:05:51Z,READ,Sales,SYSTEM_ADMIN_ALL,Denied
user47@atko.email,U0055,2025-01-28T23:05:51Z,LOGIN,IT_Ops,SALES_VIEW,Permitted
user49@atko.email,U0057,2025-02-26T23:05:51Z,CHECK_PERMS,Admin,IT_MAINTAIN,Permitted
user33@atko.email,U0041,2024-12-28T23:05:51Z,LOGOUT,Sales,SYSTEM_ADMIN_ALL,Denied
creep.user@atko.email,U9999,2025-01-24T23:05:51Z,WRITE,Security,READ_ONLY,Permitted
user1@atko.email,U0009,2025-01-01T23:05:51Z,DELETE,Security,GENERAL_USER,Denied
user28@atko.email,U0036,2024-12-12T23:05:51Z,READ,Auditor,AUDIT_READ,Permitted
user20@atko.email,U0028,2025-05-06T23:05:51Z,EXECUTE,Auditor,IT_MAINTAIN,Denied
ashwin.ramnarayanan@okta.com,U0001,2025-11-10T23:05:51Z,APPROVE,Admin,AUDIT_READ,Denied
user13@atko.email,U0021,2025-06-23T23:05:51Z,CHECK_PERMS,Viewer,FIN_PROCESS_APPR,Permitted
user15@atko.email,U0023,2025-12-02T23:05:51Z,APPROVE,Security,SYSTEM_ADMIN_ALL,Permitted
user15@atko.email,U0023,2025-01-02T23:05:51Z,LOGOUT,Viewer,FINANCE_EDIT,Permitted
user42@atko.email,U0050,2024-12-16T23:05:51Z,CREATE NEW VENDOR,Finance,HR_VIEW,Denied
user36@atko.email,U0044,2025-03-04T23:05:51Z,CHECK_PERMS,Employee,FIN_PROCESS_APPR,Denied
user8@atko.email,U0016,2025-10-29T23:05:51Z,DELETE,HR,GENERAL_USER,Permitted
max@atko.email,U0007,2025-05-28T23:05:51Z,CHECK_PERMS,Auditor,FINANCE_EDIT,Denied
harms.rosa@atko.email,U0003,2025-06-05T23:05:51Z,APPROVE,Admin,SYSTEM_ADMIN_ALL,Permitted
user33@atko.email,U0041,2025-05-14T23:05:51Z,LOGIN,Viewer,SALES_VIEW,Permitted
user12@atko.email,U0020,2025-06-25T23:05:51Z,WRITE,Viewer,READ_ONLY,Permitted
user18@atko.email,U0026,2025-08-02T23:05:51Z,CREATE NEW VENDOR,Payment Processor,IT_MAINTAIN,Permitted
user48@atko.email,U0056,2025-06-21T23:05:51Z,LOGIN,Viewer,GENERAL_USER,Denied
max@atko.email,U0007,2025-01-19T23:05:51Z,APPROVE,Admin,READ_ONLY,Permitted
user41@atko.email,U0049,2025-10-27T23:05:51Z,WRITE,Sales,SECURITY_EXECUTE,Permitted
user19@atko.email,U0027,2025-11-25T23:05:51Z,CHECK_PERMS,IT_Ops,IT_MAINTAIN,Permitted
user33@atko.email,U0041,2025-06-22T23:05:51Z,LOGOUT,Admin,SYSTEM_ADMIN_ALL,Denied
