Email,User_ID,Access_Date,Action_Type,Role,Permission_Set,Effective_Access,Group_ID
user45@atko.email,U0053,2025-02-21T23:05:51Z,DELETE,Security,SYSTEM_ADMIN_ALL,Permitted,GeneralGroup
user21@atko.email,U0029,2025-09-17T23:05:51Z,UPDATE,Viewer,HR_VIEW,Denied,GeneralGroup
john.doe@atko.email,U0002,2025-08-05T23:05:51Z,CHECK_PERMS,Finance,HR_VIEW,Denied,GeneralGroup
user28@atko.email,U0036,2024-12-20T23:05:51Z,WRITE,Sales,SYSTEM_ADMIN_ALL,Denied,GeneralGroup
user48@atko.email,U0056,2024-12-08T23:05:51Z,LOGOUT,IT_Ops,SYSTEM_ADMIN_ALL,Denied,GeneralGroup
user36@atko.email,U0044,2025-12-02T23:05:51Z,LOGOUT,Employee,GENERAL_USER,Denied,GeneralGroup
ashwin.ramnarayanan@okta.com,U0001,2025-10-23T23:05:51Z,READ,Auditor,FIN_PROCESS_APPR,Denied,GeneralGroup
user8@atko.email,U0016,2025-10-03T23:05:51Z,CHECK_PERMS,Security,READ_ONLY,Permitted,GeneralGroup
user26@atko.email,U0034,2025-11-06T23:05:51Z,LOGOUT,HR,GENERAL_USER,Permitted,GeneralGroup
user22@atko.email,U0030,2025-03-24T23:05:51Z,EXECUTE,Viewer,GENERAL_USER,Denied,GeneralGroup
user34@atko.email,U0042,2024-12-24T23:05:51Z,WRITE,Viewer,IT_MAINTAIN,Permitted,GeneralGroup
ashwin.ramnarayanan@okta.com,U0001,2024-12-24T23:05:51Z,CHECK_PERMS,Sales,READ_ONLY,Denied,GeneralGroup
user44@atko.email,U0052,2025-06-19T23:05:51Z,CHECK_PERMS,Payment Processor,AUDIT_READ,Denied,GeneralGroup
user31@atko.email,U0039,2025-08-12T23:05:51Z,CHECK_PERMS,Security,FIN_PROCESS_APPR,Denied,GeneralGroup
user8@atko.email,U0016,2025-05-30T23:05:51Z,UPDATE,Viewer,AUDIT_READ,Permitted,GeneralGroup
user3@atko.email,U0011,2025-01-10T23:05:51Z,EXECUTE,Security,FINANCE_EDIT,Permitted,GeneralGroup
max@atko.email,U0007,2025-08-23T23:05:51Z,EXECUTE,Sales,READ_ONLY,Denied,GeneralGroup
user45@atko.email,U0053,2025-05-25T23:05:51Z,CHECK_PERMS,Payment Processor,SYSTEM_ADMIN_ALL,Denied,GeneralGroup
