Email,User_ID,Access_Date,Action_Type,Role,Permission_Set,Effective_Access
user7@atko.email,U0015,2025-01-11T23:05:51Z,APPROVE,Auditor,FINANCE_EDIT,Permitted
user12@atko.email,U0020,2025-09-30T23:05:51Z,EXECUTE,Sales,FINANCE_EDIT,Denied
user0@atko.email,U0008,2025-05-19T23:05:51Z,WRITE,Admin,AUDIT_READ,Denied
john.doe@atko.email,U0002,2025-04-17T23:05:51Z,CREATE NEW VENDOR,Security,IT_MAINTAIN,Permitted
max@atko.email,U0007,2025-03-02T23:05:51Z,CHECK_PERMS,Auditor,IT_MAINTAIN,Permitted
user6@atko.email,U0014,2025-03-24T23:05:51Z,LOGIN,Employee,IT_MAINTAIN,Denied
user22@atko.email,U0030,2024-12-09T23:05:51Z,CHECK_PERMS,Sales,HR_VIEW,Denied
user46@atko.email,U0054,2025-05-04T23:05:51Z,UPDATE,Payment Processor,AUDIT_READ,Permitted
user3@atko.email,U0011,2025-05-23T23:05:51Z,UPDATE,Payment Processor,FIN_VENDOR_CREATOR,Permitted
user2@atko.email,U0010,2025-09-26T23:05:51Z,EXECUTE,Security,GENERAL_USER,Denied
user31@atko.email,U0039,2025-01-07T23:05:51Z,CHECK_PERMS,IT_Ops,READ_ONLY,Denied
user41@atko.email,U0049,2025-11-03T23:05:51Z,CREATE NEW VENDOR,Viewer,FINANCE_EDIT,Permitted
kobe.doe@atko.email,U0005,2025-09-25T23:05:51Z,DELETE,Employee,SALES_VIEW,Permitted
user41@atko.email,U0049,2025-10-04T23:05:51Z,CREATE NEW VENDOR,Security,READ_ONLY,Permitted
harms.rosa@atko.email,U0003,2025-04-10T23:05:51Z,LOGIN,HR,AUDIT_READ,Denied
user5@atko.email,U0013,2025-06-01T23:05:51Z,APPROVE,IT_Ops,READ_ONLY,Denied
user7@atko.email,U0015,2025-08-25T23:05:51Z,LOGIN,Finance,READ_ONLY,Permitted
user46@atko.email,U0054,2025-07-13T23:05:51Z,EXECUTE,Sales,SYSTEM_ADMIN_ALL,Denied
user47@atko.email,U0055,2025-10-28T23:05:51Z,DELETE,Sales,FINANCE_EDIT,Denied
user30@atko.email,U0038,2025-08-16T23:05:51Z,CREATE NEW VENDOR,Payment Processor,FIN_PROCESS_APPR,Permitted
user33@atko.email,U0041,2025-11-28T23:05:51Z,LOGOUT,Auditor,AUDIT_READ,Denied
user36@atko.email,U0044,2025-03-03T23:05:51Z,WRITE,IT_Ops,GENERAL_USER,Permitted
